Payment_ID,Invoice_ID,Payment_Amount,Payment_Date
PAY-3001,INV-2001,734.39,2026-05-08
PAY-3002,INV-2002,869.78,2026-02-22
PAY-3003,INV-2003,4632.46,2026-02-19
PAY-3004,INV-2004,352.56,2026-02-07
PAY-3005,INV-2006,3561.39,2026-07-08
PAY-3006,INV-2007,3028.48,2026-01-25
PAY-3007,INV-2008,2130.64,2026-06-09
PAY-3008,INV-2009,1233.51,2026-06-04
PAY-3009,INV-2010,2023.65,2026-06-28
PAY-3010,INV-2011,2023.65,2026-06-28
PAY-3011,INV-2013,2773.89,2026-07-03
PAY-3012,INV-2014,1607.26,2026-06-19
PAY-3013,INV-2015,3581.94,2026-01-22
PAY-3014,INV-2016,3910.73,2026-02-28
PAY-3015,INV-2017,640.0,2026-07-15
